0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,is_fake
-10.0,-10.0,-10.0,-10.0,57250.0,-10.0,-10.0,20980.0,326.8,217.0,162.2,134.4,148.1,118.44,180.6,873.0,3706.0,3516.0,1073.0,1531.0,4750.0,7732.0,5016.0,2618.0,2074.0,478.8,96.44,53.9,43.8,32.5,28.12,27.3,28.23,31.08,19.97,16.19,18.9,27.0,70.0,194.2,184.5,106.8,53.34,35.38,29.19,20.12,29.08,53.88,63.56,92.1,170.4,222.2,179.6,234.9,109.6,46.16,31.22,37.44,75.0,34.1,10.29,10.9,9.25,7.992,6.285,5.855,6.18,8.62,19.81,28.78,13.49,15.91,20.48,27.06,49.47,110.75,52.03,23.47,19.95,13.87,13.04,22.17,13.266,4.477,7.85,7.043,4.13,4.926,5.04,3.908,3.232,4.516,4.37,5.12,8.16,4.227,5.207,9.19,17.67,42.16,59.03,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,42270.0,4880.0,963.5,269.0,157.6,145.6,141.2,113.3,96.5,82.3,264.0,509.0,238.0,77.25,47.94,35.3,43.75,50.0,44.0,43.28,54.72,59.03,37.9,63.66,69.3,68.06,68.06,62.0,35.2,21.53,32.3,30.05,27.22,21.2,28.7,24.25,19.75,17.55,14.29,8.375,4.79,4.438,5.6,6.06,5.03,4.86,3.885,3.096,5.906,6.195,5.62,3.484,2.404,1.486,1.654,2.057,1.312,0.978,1.029,0.7915,0.322,0.1763,0.3176,0.64,1.251,1.219,1.446,1.972,3.062,4.594,2.074,0.6597,0.585,0.8037,1.336,1.955,1.321,0.412,0.3547,0.365,0.4153,0.645,0.5713,0.6587,1.05,1.073,0.4976,0.639,0.818,1.178,1.162,1.379,2.986,5.25,3.453,1
-10.0,-10.0,-10.0,-10.0,-10.0,43000.0,23250.0,1990.0,27.4,13.7,7.22,8.15,48.6,293.8,330.5,57.34,2.805,1.548,3.68,2.443,3.895,23.23,44.4,28.47,19.75,20.17,16.02,27.39,66.5,63.88,31.94,52.66,64.44,36.7,23.17,23.34,62.1,164.2,136.1,116.44,132.1,252.6,409.0,249.4,183.2,282.5,380.5,313.5,235.0,223.9,154.9,173.6,152.5,185.6,181.2,174.2,91.75,72.2,67.06,63.4,45.78,26.84,14.33,20.11,20.62,12.79,16.12,30.75,33.06,22.14,18.45,24.88,27.77,27.66,47.34,89.5,39.6,27.11,21.83,15.695,16.73,19.28,15.19,12.25,20.58,13.234,6.848,12.93,13.17,7.457,8.695,6.41,5.543,5.676,4.023,4.56,4.67,5.332,10.055,13.34,8.28,1
13510.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,46370.0,4396.0,1347.0,926.5,1350.0,1421.0,1399.0,2218.0,4904.0,8360.0,6144.0,5680.0,4344.0,2732.0,1769.0,1410.0,834.5,498.5,507.5,379.0,207.2,111.44,87.94,105.7,195.1,259.8,262.8,584.0,2140.0,3614.0,4424.0,2958.0,2360.0,1302.0,673.5,307.8,240.5,171.5,187.0,188.2,147.8,214.5,300.5,248.5,243.1,220.1,273.8,165.1,112.7,160.0,138.2,51.06,38.75,49.34,35.6,23.31,17.64,21.34,21.16,27.73,47.53,53.3,42.0,37.06,42.56,44.5,47.44,86.06,65.7,42.06,43.47,35.84,35.28,41.9,25.56,15.81,17.47,16.45,16.98,19.12,20.48,13.55,7.16,8.9,8.95,7.855,8.08,8.18,4.895,3.453,3.37,8.36,11.266,1
-10.0,-10.0,-10.0,-10.0,-10.0,26610.0,18480.0,5416.0,1078.0,209.2,82.44,71.44,82.5,45.5,39.0,41.28,38.9,41.03,41.3,31.64,35.03,51.3,100.06,99.94,52.1,55.3,92.7,95.8,71.9,60.78,88.1,94.0,135.0,179.9,212.1,369.0,699.0,647.0,659.0,741.0,789.0,1277.0,1863.0,1615.0,1598.0,939.5,1163.0,1662.0,1446.0,922.5,1193.0,1039.0,559.0,602.0,1041.0,584.0,351.2,206.6,216.2,96.8,72.5,130.2,96.0,28.66,19.17,35.8,42.78,47.53,73.06,82.1,50.0,70.06,118.1,101.2,142.6,238.6,186.1,113.94,90.4,63.47,58.25,63.44,60.47,57.6,69.25,64.8,35.97,44.56,53.53,38.22,38.7,36.8,31.88,31.64,29.86,18.38,20.08,27.5,22.28,87.9,136.0,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,10550.0,3472.0,2412.0,1636.0,1351.0,985.5,511.8,521.0,780.5,850.5,829.0,1071.0,3308.0,8144.0,6050.0,2982.0,3676.0,7870.0,8820.0,5844.0,2976.0,1382.0,1181.0,1257.0,999.0,437.5,150.2,84.94,67.1,57.9,47.62,41.56,57.28,112.75,231.6,506.2,1052.0,1896.0,1836.0,1176.0,872.5,898.5,960.0,1205.0,993.5,663.5,916.0,717.0,212.9,79.2,50.03,32.94,36.3,23.06,13.92,14.52,16.16,21.17,23.56,43.66,53.9,52.06,63.1,71.94,67.94,73.44,95.4,64.2,48.1,49.2,39.53,28.98,33.72,29.75,20.3,16.28,15.85,11.29,16.0,16.69,10.6,10.51,13.914,9.21,7.56,8.555,9.164,9.914,8.53,7.008,15.2,11.67,1
-10.0,-10.0,-10.0,-10.0,55260.0,38660.0,44450.0,42370.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,61860.0,30900.0,35740.0,27300.0,19230.0,18000.0,15830.0,12290.0,10050.0,11540.0,20660.0,21150.0,29140.0,36450.0,31820.0,36060.0,34600.0,36860.0,42300.0,31980.0,32080.0,31980.0,45470.0,55330.0,38800.0,40830.0,61340.0,-10.0,-10.0,57250.0,39420.0,21120.0,18400.0,16290.0,22690.0,13600.0,9590.0,11300.0,8184.0,5240.0,4430.0,3542.0,4476.0,6370.0,9330.0,8536.0,5450.0,5250.0,6084.0,6870.0,10580.0,20160.0,11550.0,4868.0,5570.0,5436.0,5556.0,7108.0,5280.0,3734.0,7596.0,6424.0,2794.0,2496.0,3316.0,3646.0,3412.0,2450.0,1417.0,1355.0,1620.0,886.0,544.5,409.8,338.0,505.0,560.0,1
19650.0,-10.0,-10.0,-10.0,-10.0,-10.0,53820.0,22450.0,1868.0,1161.0,821.0,524.5,307.5,350.2,778.0,3182.0,18750.0,19250.0,7430.0,3308.0,829.5,456.0,311.8,474.8,1238.0,1633.0,1133.0,678.0,459.0,799.0,2332.0,3594.0,2370.0,2612.0,1940.0,1259.0,1242.0,933.0,583.5,490.0,600.0,512.0,535.0,647.0,697.5,908.0,976.5,1082.0,880.5,1007.5,1081.0,1066.0,914.5,744.0,892.5,732.5,624.0,622.5,560.5,400.0,182.1,163.6,88.2,58.0,68.4,108.56,106.1,124.44,234.5,202.8,139.6,154.6,172.0,230.8,296.8,251.4,229.2,138.9,155.9,173.0,152.9,180.2,119.3,66.6,100.3,107.4,84.4,90.0,80.3,66.44,66.75,43.5,30.56,31.69,31.08,25.02,30.27,15.37,15.42,32.84,41.6,1
4004.0,51400.0,-10.0,-10.0,-10.0,-10.0,-10.0,4376.0,520.5,206.5,109.3,82.0,69.3,34.1,37.47,36.25,51.88,152.6,406.0,355.8,241.5,287.0,167.4,51.12,31.08,26.47,21.44,12.29,12.73,14.98,21.5,43.84,77.25,46.34,25.34,18.55,18.48,17.81,19.05,20.34,18.8,43.88,58.94,32.03,12.67,3.924,2.639,2.777,2.736,2.56,3.947,3.186,2.463,3.33,3.566,2.408,2.316,1.925,1.896,1.108,1.062,1.5625,1.09,0.519,0.6953,1.673,0.9346,0.93,3.328,4.76,2.41,1.398,1.65,2.45,2.95,3.516,2.873,1.967,1.454,1.399,1.462,1.423,0.724,0.691,0.7183,0.626,0.5,0.5483,0.4978,0.428,0.293,0.508,0.6016,0.3994,0.5947,1.172,3.676,3.918,1.295,1.307,1.739,1
-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,24240.0,7656.0,3922.0,2738.0,2546.0,1484.0,1296.0,1221.0,1194.0,1486.0,1859.0,1230.0,802.5,865.0,1071.0,1349.0,1975.0,2158.0,1215.0,1335.0,1376.0,768.5,406.5,698.0,720.5,621.0,398.5,339.0,449.8,462.5,388.2,292.8,360.8,741.0,966.5,1195.0,1150.0,805.0,569.0,605.0,327.5,339.2,595.5,524.0,396.8,466.2,738.0,699.0,369.8,196.8,192.8,108.94,114.6,174.5,113.9,59.0,47.38,69.5,90.0,86.25,99.75,123.3,101.44,95.4,132.1,220.4,266.8,279.8,240.2,114.0,98.0,115.94,101.75,73.25,66.8,60.06,71.9,54.38,64.25,69.7,72.7,36.9,39.94,57.44,36.84,28.0,27.78,15.2,11.47,13.305,13.484,34.0,47.7,1
